Date,Name,Food Log Notes
3/11/2025,,"Upper A, 44 minute walk (1.45 miles)"
3/12/2025,,"Lower A, 69 minute walk (2.25 miles)"
3/13/2025,,"Shoulders and arms, 67 minutes, 2.2 miles"
3/14/2025,,"No lift, 51 minute walk, 1.69 miles"
3/15/2025,,"No workout, 61 minute walk, 2 miles"
3/18/2025,,"Upper A, 62 minute walk, 1.85 miles. "
3/19/2025,,"Lower A, 72 minutes, 2.5 miles"
3/22/2025,,"Upper B, 45 minute walk, 1.55 miles "
3/23/2025,,"Leg extension: 90x 10, 9, 9, 9, 9
Leg curl: 45x 10, 10, 9, 8, 8
Calf raises: 100x 10, 9, 9 
Uni-lateral leg press: 140x 12, 11, 11, 10
Waking lunges: BW each side x 15, 12, 15, 12
Bent over rear delt rows with rope: 20x18, 20, 16
Pull ups: 6, 4
Rope tricep push downs: 30x10, 8, 25x7
30 minute walk"
3/25/2025,,"41 minutes, 1.2 miles"